Latitude,Longitude,X Coordinate,Y Coordinate,Location
42.01807811,-87.81877175,1124075,1949598,"(42.018078111, -87.818771752)"
41.75266772,-87.60037012,1184249,1853315,"(41.752667722, -87.600370119)"
41.72898667,-87.59858417,1184810,1844690,"(41.728986671, -87.598584169)"
41.78174055,-87.59947448,1184403,1863911,"(41.781740546, -87.599474481)"
41.90915682,-87.78425436,1133709,1909965,"(41.909156822, -87.78425436)"
41.70722483,-87.61957854,1179145,1836712,"(41.707224825, -87.619578543)"
41.76287814,-87.63094427,1175876,1856966,"(41.762878142, -87.630944268)"
41.76443184,-87.71505392,1152925,1857356,"(41.76443184, -87.715053922)"
41.92814285,-87.65095549,1169938,1917144,"(41.928142854, -87.650955488)"
41.68592691,-87.62771082,1176988,1828933,"(41.68592691, -87.627710817)"
41.82494954,-87.62310448,1177828,1879602,"(41.82494954, -87.62310448)"
41.92432176,-87.74017575,1145669,1915571,"(41.924321757, -87.740175746)"
41.88179956,-87.74654384,1144042,1900064,"(41.881799563, -87.746543843)"
41.77544228,-87.6950375,1158356,1861408,"(41.775442279, -87.695037504)"
41.95773687,-87.7309724,1148088,1927765,"(41.957736865, -87.730972401)"
41.75958056,-87.6406124,1173248,1855743,"(41.759580563, -87.640612396)"
41.84629657,-87.651536,1170017,1887318,"(41.846296572, -87.651535996)"
41.94871768,-87.73801237,1146196,1924465,"(41.948717677, -87.738012369)"
41.94735452,-87.64396485,1171784,1924160,"(41.947354519, -87.643964847)"
41.88314576,-87.76986147,1137689,1900512,"(41.883145763, -87.769861469)"
41.80229107,-87.60356051,1183225,1871390,"(41.802291065, -87.60356051)"
41.89881158,-87.77525924,1136182,1906211,"(41.89881158, -87.775259239)"
41.91212342,-87.6823839,1161430,1911240,"(41.912123415, -87.682383902)"
41.77974092,-87.72767683,1149442,1862910,"(41.779740918, -87.727676831)"
41.9508899,-87.72263318,1150374,1925286,"(41.950889904, -87.722633177)"
41.86000121,-87.70792293,1154617,1892195,"(41.860001211, -87.70792293)"
41.87891935,-87.66539272,1166149,1899176,"(41.878919349, -87.665392715)"
41.91460459,-87.6946705,1158079,1912119,"(41.914604589, -87.694670498)"
41.76594075,-87.72060378,1151407,1857895,"(41.765940751, -87.72060378)"
41.74413026,-87.64749521,1171415,1850098,"(41.744130256, -87.647495212)"
41.70072441,-87.64629049,1171870,1834284,"(41.700724406, -87.646290486)"
41.76408787,-87.65786125,1168529,1857348,"(41.76408787, -87.657861248)"
41.93076993,-87.73526868,1146988,1917930,"(41.930769934, -87.735268684)"
41.92453231,-87.72275599,1150409,1915681,"(41.924532312, -87.72275599)"
41.93775674,-87.70145588,1156170,1920542,"(41.93775674, -87.701455877)"
41.79008041,-87.63288056,1175267,1866874,"(41.790080409, -87.63288056)"
41.78112894,-87.62222434,1178200,1863636,"(41.781128939, -87.622224337)"
41.76172473,-87.57804052,1190313,1856668,"(41.761724731, -87.578040519)"
41.87025728,-87.7454782,1144361,1895860,"(41.870257278, -87.745478198)"
41.78342642,-87.70920295,1154471,1864289,"(41.783426423, -87.709202953)"
41.89677048,-87.6806372,1161948,1905649,"(41.896770484, -87.6806372)"
41.75302908,-87.57113165,1192226,1853516,"(41.753029081, -87.571131654)"
41.7045964,-87.64762621,1171494,1835692,"(41.704596398, -87.64762621)"
41.7692255,-87.58442259,1188548,1859386,"(41.7692255, -87.584422591)"
41.75074413,-87.59910569,1184600,1852617,"(41.750744127, -87.599105692)"
41.73004642,-87.55367562,1197065,1845184,"(41.730046419, -87.553675621)"
41.75466478,-87.5723877,1191878,1854109,"(41.754664775, -87.572387695)"
41.80055814,-87.58586229,1188056,1870800,"(41.800558144, -87.585862293)"
41.69624012,-87.68745079,1160642,1832563,"(41.696240116, -87.687450791)"
41.69665185,-87.68746498,1160637,1832713,"(41.696651846, -87.68746498)"
41.76943836,-87.68826769,1160219,1859234,"(41.769438364, -87.688267689)"
41.80664275,-87.61651745,1179679,1872946,"(41.806642745, -87.616517453)"
41.89502993,-87.74446874,1144574,1904889,"(41.895029927, -87.744468743)"
41.88321069,-87.63168802,1175315,1900813,"(41.883210693, -87.631688021)"
41.74323537,-87.71312103,1153508,1849636,"(41.743235365, -87.713121033)"
41.95157453,-87.65445901,1168917,1925675,"(41.951574531, -87.65445901)"
41.9326115,-87.72330739,1150238,1918624,"(41.932611499, -87.723307386)"
41.65636901,-87.55198504,1197770,1818341,"(41.656369006, -87.551985036)"
41.93328151,-87.75249268,1142295,1918813,"(41.933281508, -87.752492679)"
41.95383454,-87.71445098,1152592,1926375,"(41.953834539, -87.71445098)"
41.69043918,-87.65052254,1170744,1830527,"(41.690439176, -87.650522542)"
41.85498184,-87.67165804,1164510,1890440,"(41.854981835, -87.671658043)"
41.76763714,-87.73158466,1148407,1858492,"(41.767637138, -87.731584661)"
41.74957486,-87.64885914,1171027,1852079,"(41.749574862, -87.648859142)"
41.95474331,-87.70193148,1155995,1926731,"(41.95474331, -87.701931481)"
41.72272508,-87.55455537,1196849,1842514,"(41.722725077, -87.554555366)"
41.96700759,-87.72799121,1148875,1931149,"(41.967007592, -87.727991211)"
41.83375756,-87.61938905,1178814,1882820,"(41.833757555, -87.619389047)"
41.71313979,-87.63086707,1176045,1838842,"(41.713139794, -87.630867066)"
41.94428539,-87.74808113,1143468,1922831,"(41.944285391, -87.748081125)"
41.80611135,-87.6588248,1168146,1872659,"(41.80611135, -87.658824799)"
41.93343219,-87.74116081,1145378,1918889,"(41.933432185, -87.741160811)"
41.76386471,-87.67664538,1163405,1857227,"(41.763864711, -87.676645378)"
41.72227988,-87.58925012,1187379,1842268,"(41.72227988, -87.58925012)"
41.7896656,-87.79636772,1130684,1866402,"(41.789665599, -87.796367722)"
41.91967187,-87.70387569,1155560,1913947,"(41.919671872, -87.703875687)"
41.89229111,-87.67569148,1163307,1904027,"(41.892291111, -87.675691484)"
41.91997489,-87.68097399,1161792,1914104,"(41.919974886, -87.680973985)"
41.83561957,-87.64984391,1170509,1883431,"(41.835619566, -87.649843913)"
41.7885466,-87.66611533,1166208,1866243,"(41.788546599, -87.666115331)"
41.80282956,-87.65145052,1170166,1871479,"(41.802829563, -87.651450518)"
41.88020336,-87.69230683,1158816,1899588,"(41.880203364, -87.692306833)"
41.77490354,-87.68217122,1161867,1861238,"(41.774903544, -87.682171222)"
41.72071838,-87.63833764,1173983,1841587,"(41.720718379, -87.638337635)"
41.78288891,-87.58900444,1187255,1864354,"(41.782888906, -87.589004438)"
41.90848062,-87.75223997,1142425,1909776,"(41.908480615, -87.752239973)"
41.91318577,-87.65077682,1170030,1911694,"(41.913185765, -87.650776824)"
41.88036534,-87.7002333,1156657,1899631,"(41.880365337, -87.700233296)"
41.92230732,-87.75411715,1141880,1914811,"(41.922307315, -87.754117145)"
41.67973251,-87.68445306,1161506,1826554,"(41.679732507, -87.684453058)"
41.74597344,-87.65240426,1170070,1850759,"(41.745973441, -87.652404261)"
41.89185547,-87.75922571,1140564,1903705,"(41.891855466, -87.75922571)"
41.86440446,-87.72040981,1151204,1893775,"(41.864404455, -87.720409811)"
41.77115951,-87.67432747,1164017,1859890,"(41.771159507, -87.674327467)"
41.8705822,-87.65833102,1168096,1896153,"(41.8705822, -87.658331019)"
41.76343421,-87.57717376,1190544,1857293,"(41.763434214, -87.577173759)"
41.94855801,-87.65760828,1168069,1924569,"(41.948558011, -87.657608279)"
41.94827443,-87.74038752,1145551,1924299,"(41.948274428, -87.740387518)"
41.8416186,-87.72812491,1149161,1885457,"(41.841618601, -87.728124907)"
41.90094749,-87.68943626,1159541,1907153,"(41.900947493, -87.689436263)"
41.9271918,-87.7611837,1139945,1916578,"(41.927191798, -87.761183696)"
41.7018527,-87.68024288,1162595,1834623,"(41.701852704, -87.680242876)"
41.8874256,-87.68292482,1161351,1902239,"(41.887425603, -87.68292482)"
42.0009109,-87.67157577,1164122,1943617,"(42.000910904, -87.671575771)"
41.6904632,-87.62102334,1178801,1830601,"(41.690463202, -87.621023344)"
41.78372448,-87.62479893,1177490,1864576,"(41.783724478, -87.62479893)"
41.79863622,-87.66592266,1166232,1869920,"(41.79863622, -87.665922663)"
41.68671821,-87.61809553,1179612,1829243,"(41.686718214, -87.618095529)"
41.67766075,-87.61658884,1180051,1825946,"(41.677660754, -87.616588843)"
41.94791192,-87.75051822,1142796,1924148,"(41.947911924, -87.750518218)"
41.75575872,-87.60656176,1182550,1854427,"(41.755758717, -87.606561764)"
41.70925512,-87.67848328,1163055,1837324,"(41.709255122, -87.678483276)"
41.6910382,-87.53166643,1203205,1831025,"(41.691038204, -87.531666433)"
41.79195089,-87.64266589,1172593,1867534,"(41.791950886, -87.642665892)"
41.90829059,-87.75591541,1141425,1909700,"(41.908290594, -87.755915409)"
41.91917799,-87.69297145,1158529,1913789,"(41.91917799, -87.692971447)"
41.83936289,-87.60868078,1181715,1884887,"(41.839362885, -87.608680783)"
41.90281837,-87.76689308,1138450,1907686,"(41.902818373, -87.766893078)"
41.98817763,-87.66020932,1167248,1939001,"(41.98817763, -87.660209315)"
41.90868308,-87.75592657,1141421,1909843,"(41.908683076, -87.755926567)"
41.74650644,-87.64513566,1172052,1850969,"(41.74650644, -87.645135659)"
41.73771261,-87.71493654,1153027,1847620,"(41.737712613, -87.714936544)"
41.7501515,-87.64523965,1172013,1852297,"(41.750151501, -87.645239649)"
41.77773144,-87.65861266,1168285,1862318,"(41.777731438, -87.658612659)"
41.92115687,-87.78415149,1133709,1914338,"(41.92115687, -87.784151493)"
41.86384433,-87.661482,1167257,1893691,"(41.863844331, -87.661481997)"
41.75497917,-87.66719976,1166007,1854009,"(41.754979169, -87.667199764)"
41.71480614,-87.56944444,1192810,1839592,"(41.714806135, -87.569444437)"
41.95797203,-87.74832357,1143368,1927818,"(41.957972033, -87.748323567)"
41.7544623,-87.56628801,1193543,1854050,"(41.754462301, -87.56628801)"
41.89414095,-87.71627639,1152252,1904619,"(41.894140953, -87.716276385)"
41.73393197,-87.60332732,1183500,1846481,"(41.733931965, -87.603327317)"
41.78225602,-87.6400494,1173335,1864007,"(41.782256023, -87.6400494)"
41.76623353,-87.57262123,1191777,1858324,"(41.766233527, -87.572621227)"
41.88220828,-87.63969339,1173138,1900430,"(41.882208281, -87.639693386)"
41.88815331,-87.62591211,1176873,1902627,"(41.88815331, -87.625912107)"
41.8586519,-87.66992794,1164971,1891781,"(41.858651903, -87.669927943)"
41.95067773,-87.6662579,1165710,1925323,"(41.950677729, -87.666257902)"
41.9216699,-87.69942831,1156765,1914684,"(41.921669901, -87.699428306)"
41.93772291,-87.64041525,1172778,1920658,"(41.937722913, -87.64041525)"
41.79195333,-87.77204333,1137312,1867278,"(41.79195333, -87.772043332)"
41.75814827,-87.56757822,1193179,1855390,"(41.758148265, -87.567578222)"
41.67775995,-87.64585393,1172056,1825917,"(41.677759952, -87.645853925)"
41.81596849,-87.65643962,1168768,1876256,"(41.815968486, -87.65643962)"
41.89565293,-87.69714762,1157456,1905208,"(41.89565293, -87.697147619)"
41.72660358,-87.60575482,1182860,1843805,"(41.726603582, -87.605754816)"
41.8022408,-87.58508354,1188263,1871415,"(41.802240804, -87.585083537)"
41.78733576,-87.70094042,1156714,1865730,"(41.787335762, -87.700940417)"
41.70609785,-87.61007304,1181744,1836323,"(41.70609785, -87.610073037)"
41.94167721,-87.67394556,1163644,1922027,"(41.941677208, -87.673945561)"
41.97431374,-87.72456079,1149789,1933818,"(41.974313737, -87.724560793)"
41.97686303,-87.68495399,1160552,1934826,"(41.976863032, -87.684953992)"
41.87077539,-87.72534228,1149844,1896087,"(41.87077539, -87.725342276)"
41.77765114,-87.78304582,1134345,1862047,"(41.777651142, -87.783045818)"
41.95090526,-87.70915992,1154039,1925318,"(41.950905262, -87.70915992)"
41.7364367,-87.54865942,1198413,1847525,"(41.736436695, -87.548659422)"
41.91927614,-87.68746631,1160027,1913836,"(41.919276135, -87.687466308)"
41.74374483,-87.6949045,1158478,1849858,"(41.743744828, -87.694904495)"
41.90517558,-87.76576284,1138752,1908547,"(41.905175582, -87.765762835)"
41.8580823,-87.64724443,1171152,1891622,"(41.858082299, -87.647244432)"
41.77314644,-87.68836251,1160183,1860585,"(41.773146443, -87.688362512)"
41.82371891,-87.62602382,1177036,1879147,"(41.823718912, -87.62602382)"
41.72743301,-87.61063973,1181524,1844096,"(41.727433005, -87.61063973)"
41.87076952,-87.72113839,1150989,1896093,"(41.870769523, -87.721138394)"
41.70590246,-87.6222995,1178406,1836224,"(41.705902463, -87.622299502)"
41.82294687,-87.64347389,1172282,1878827,"(41.822946874, -87.643473887)"
41.76319104,-87.6127824,1180830,1857121,"(41.763191039, -87.612782404)"
41.73190063,-87.61675555,1179841,1845710,"(41.731900629, -87.616755546)"
41.88099074,-87.70467776,1155445,1899850,"(41.880990743, -87.704677761)"
41.80660641,-87.7443512,1144827,1872668,"(41.806606405, -87.744351201)"
42.01412885,-87.81930036,1123940,1948158,"(42.014128847, -87.81930036)"
41.85279683,-87.72103452,1151064,1889544,"(41.852796829, -87.721034518)"
41.80161855,-87.74299219,1145210,1870853,"(41.80161855, -87.742992185)"
41.94180605,-87.70524591,1155128,1922010,"(41.94180605, -87.705245907)"
41.9694898,-87.68163837,1161474,1932146,"(41.969489796, -87.681638371)"
41.80078692,-87.64166146,1172841,1870756,"(41.800786923, -87.641661461)"
41.94350662,-87.6581946,1167924,1922727,"(41.943506619, -87.6581946)"
41.91347477,-87.79612483,1130468,1911518,"(41.91347477, -87.796124827)"
41.90638831,-87.71522169,1152507,1909084,"(41.906388306, -87.715221693)"
41.86250262,-87.7061658,1155089,1893110,"(41.862502624, -87.706165802)"
41.72292156,-87.60588793,1182835,1842463,"(41.722921555, -87.605887934)"
41.87751377,-87.68932272,1159636,1898614,"(41.877513771, -87.689322718)"
41.97724043,-87.83528241,1119675,1934690,"(41.977240428, -87.835282414)"
41.83562133,-87.64967877,1170554,1883432,"(41.835621327, -87.649678765)"
41.77315593,-87.69201741,1159186,1860581,"(41.773155926, -87.692017405)"
41.96399729,-87.66375841,1166352,1930182,"(41.963997289, -87.663758405)"
41.8764344,-87.63516598,1174388,1898336,"(41.8764344, -87.635165978)"
41.83791696,-87.70972697,1154184,1884144,"(41.837916962, -87.709726973)"
41.94957298,-87.79979202,1129388,1924666,"(41.94957298, -87.799792016)"
41.65909136,-87.63647925,1174672,1819135,"(41.659091355, -87.636479252)"
41.88666318,-87.65781288,1168191,1902014,"(41.886663176, -87.657812882)"
41.75706449,-87.63841476,1173855,1854831,"(41.75706449, -87.638414759)"
41.73656525,-87.61050805,1181532,1847424,"(41.736565245, -87.610508045)"
41.94199444,-87.68824421,1159753,1922113,"(41.941994438, -87.688244212)"
41.99402597,-87.69537061,1157673,1941059,"(41.994025972, -87.69537061)"
41.91093087,-87.70677208,1154795,1910756,"(41.910930872, -87.706772076)"
41.88407241,-87.72193684,1150737,1900939,"(41.884072411, -87.721936843)"
41.94001476,-87.82642011,1122165,1921139,"(41.940014759, -87.826420105)"
41.79838843,-87.70369602,1155933,1869752,"(41.798388428, -87.703696022)"
41.93944641,-87.76984023,1137560,1921028,"(41.939446411, -87.769840233)"
41.71008135,-87.65579366,1169248,1837673,"(41.710081353, -87.655793664)"
41.92060668,-87.74456067,1144485,1914209,"(41.920606684, -87.744560665)"
41.88176798,-87.74896044,1143384,1900048,"(41.881767977, -87.748960435)"
41.86614251,-87.61148435,1180869,1894639,"(41.86614251, -87.61148435)"
42.00389938,-87.81949677,1123909,1944430,"(42.003899378, -87.819496765)"
41.75647228,-87.66723563,1165993,1854553,"(41.756472278, -87.667235634)"
41.72246549,-87.5756579,1191089,1842368,"(41.722465492, -87.575657904)"
41.90849796,-87.75841167,1140745,1909771,"(41.90849796, -87.758411673)"
41.9536122,-87.73147446,1147962,1926261,"(41.953612202, -87.731474455)"
41.7799276,-87.63395532,1175004,1863172,"(41.779927603, -87.633955315)"
41.90760517,-87.76262971,1139599,1909438,"(41.90760517, -87.762629713)"
41.96561847,-87.64052487,1172666,1930823,"(41.965618468, -87.640524873)"
41.88309927,-87.65007257,1170309,1900732,"(41.883099265, -87.650072574)"
41.93158412,-87.64727317,1170930,1918406,"(41.931584117, -87.64727317)"
41.93771735,-87.68116073,1161692,1920569,"(41.937717349, -87.681160727)"
41.9765013,-87.71234495,1153105,1934639,"(41.9765013, -87.712344945)"
41.78434093,-87.66069567,1167698,1864722,"(41.78434093, -87.660695673)"
41.75344616,-87.644116,1172310,1853500,"(41.753446164, -87.644115998)"
41.79182175,-87.62773874,1176664,1867520,"(41.791821751, -87.627738741)"
41.97466749,-87.7147605,1152453,1933966,"(41.974667492, -87.714760504)"
41.8975238,-87.76670479,1138514,1905757,"(41.897523802, -87.766704791)"
41.95924155,-87.71870768,1151420,1928337,"(41.95924155, -87.71870768)"
41.92769295,-87.65190471,1169681,1916978,"(41.92769295, -87.651904711)"
41.96841012,-87.71261842,1153052,1931690,"(41.96841012, -87.712618424)"
41.87442073,-87.72190767,1150770,1897422,"(41.874420732, -87.721907669)"
41.71381996,-87.62365165,1178013,1839106,"(41.71381996, -87.623651651)"
41.97107071,-87.70732668,1154484,1932670,"(41.971070708, -87.707326679)"
41.74564626,-87.56979353,1192615,1850829,"(41.74564626, -87.569793528)"
